UID	Name	Name_of_mapped_ID_in_Tax	Tax_Path_Names	URL	Mapped_ID_in_Tax	Tax_Level	Tax_Path_IDs	Keywords	Description	Date	Type 	Author	Last_Edit	Comments	Affiliation	Location	Driftie	Tags
1.1.1.2.1.6.100	How has the climate tech capital stack evolved?	Solar Financing	Power;Renewables;Solar;Production and Deployment;Solar Financing;Solar Financing	https://www.climatedrift.com/p/how-has-the-climate-tech-capital	1.1.1.2.1.6	6	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.6	Cli-Fi playbook, VC, climate capital, KiOR, A123 , Beacon Power, Abound Solar,  Solyndra, project finance, megafunds, FOAK, generate capital	We’re here to tackle the current climate challenges head-on. One of the biggest right now? Navigating the funding Ice Age facing climate companies. Where’s the money going to come from to fuel the solutions we desperately need? Thankfully Mairi Robertson, climate financier extraordinaire, has agreed to open-source her Cli-Fi Playbook (that’s climate finance, not speculative fiction). Over the coming weeks, she’ll unpack her insights from working in the trenches of climate tech financing. Today, we’re kicking off with how the climate capital stack has evolved over the years. Future posts will explore topics like asset-based financing, the ongoing capital crunch, and what’s ahead for key areas like data centers and the power grid.	01/29/2025	CD Original Article	Mairi Robertson	07/10/2025				NA	funding, solar, AI, climate-finance
1.1.1.2.100	How Solar Got Cheap	Solar	Power;Renewables;Solar;Solar	https://www.climatedrift.com/p/how-solar-got-cheap	1.1.1.2	4	1;1.1;1.1.1;1.1.1.2	solar, japan, germany, australia, china, solar markets	In a world where the sun sets every day, one energy source has managed to shine brighter than ever before: solar energy. Just a few decades ago, solar panels were a rare sight. Fast forward to today, and they're starting to be everywhere, powering cities, and offering a glimmer of hope in the fight against climate change. How did a technology once confined to calculators and satellites become the beacon of our renewable energy future? This isn't just a story of photons and panels; it's a tale of global collaboration, strategic innovation, and the relentless pursuit of a brighter tomorrow. Today - with the help of the great book How Solar Energy became Cheap - I will explain the steps that went into the process, and if we can replicate it with other technologies. And to make this journey digestible, we'll use parallels to something we all love: cooking.	08/11/2023	CD Original Article	Skander Garroum	07/10/2025				NA	solar, markets, EVs, renewables
1.1.1.2.101	Skander Garroum	Solar	Power;Renewables;Solar;Solar	https://www.linkedin.com/in/skandergarroum/	1.1.4	4	1;1.1;1.1.1;1.1.1.2	climate drift, founder	Founder & Economist on a mission to demystify climate solutions. Serving bite-sized insights and in-depth explorations.	05/26/2025	Person		07/10/2025			Berlin, Germany	1	renewables, solar
1.1.100	How To Make Your Home A Climate Champion	Power	Power;Power	https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion	1.1	2	1;1.1	Home Electrification, Climate Champion, Zero-Carbon Living, Carbon Footprint Reduction, Energy Efficiency, Carbon Reduction Plan, Zero Energy Ready Home (ZERH), Heat Pump, Weatherization, Water Re-use, Rainwater Capture, Composting, Methane, Energy Costs Savings, Indoor Air Health, IRA, net zero, home, International Energy Conservation Code, IECC, Rewiring America, Pedernales Electric Cooperative, home energy audit, EVs, Texas Electric Vehicle Infrastructure Plan, solar, residential, water heater, stove, composting, Carbon-Neutral Home	Have you thought about ditching your gas furnace or car and electrifying your home, only to be stopped by sticker shock or a maze of choices? If so, you’re not alone. The good news: plenty of homeowners are cracking the code on all-electric, zero-carbon living. Take Jennie Montano, for example. Jennie is a homeowner in Austin, Texas, who recently decided to transform her 1970s bungalow into a cleaner, more efficient home. At first, she felt just as stuck as anyone: Which project to do first?; How to afford it?; Who to hire?; Rather than throwing up her hands, Jennie turned the project into a series of manageable steps. And because she is a driftie she built it into a roadmap, and shared her decision making process and decisions along the way, to help us learn about the current solutions and friction points.This one’s for every homeowner thinking about decarbonization and every built-environment founder wanting to understand how customers navigate (or get stuck in) this transition.	02/17/2025	CD Original Article	Jennie Montano	07/10/2025	Maybe add a taxa category for homes?			NA	residential, EVs, water, AI
1.1.4.100	How to use Toasters and Bricks to reduce 25% of global emissions Pt. 1	Energy Storage	Power;Energy Storage;Energy Storage	https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa	1.1.4	3	1;1.1;1.1.4	rondo, thermal storage, renewable, heat, industrial, industrial heat, renweable, battery, storage	Rondo, a company aiming to significantly reduce global emissions - how significantly? Their stated goal is reducing 1% of world emissions in a decade. But this is not where their ambition stops: in 15 years they want to reach 15%. So far they have dozens of pilots running and hundreds more in the pipeline. They raised more than $100 million, with their last round of $60 million this year coming from tier 1 climate funds: Breakthrough Energy Ventures, Energy Impact Partners, John Doerr and industrial leaders including Microsoft's Climate Innovation Fund, Rio Tinto, SABIC and Aramco Ventures. How do they want to do it? Combine a toaster with bricks, and decarbonize industrial heat. We are first looking at the problem of Industrial Heat	09/26/2023	CD Original Article	Skander Garroum	07/10/2025				NA	industrial, energy-storage, co2, funding
1.1.4.101	How to use Toasters and Bricks to reduce 25% of global emissions Pt. 2	Energy Storage	Power;Energy Storage;Energy Storage	https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa	1.1.4	3	1;1.1;1.1.4	rondo, thermal storage, renewable, heat, industrial, industrial heat, renweable, battery, storage	The Rondo Heat Battery delivers 24/7 zero-carbon, economical industrial heat, fueled by affordable renewable electricity. It supplies on-demand high-temperature heat as hot air, steam, or hot water, enabling customers to reduce operating costs while utilizing zero-carbon energy continuously.	09/26/2023	CD Original Article	Skander Garroum	07/10/2025				NA	energy-storage, industrial, water, AI
1.1.4.102	Powering The Future	Energy Storage	Power;Energy Storage;Energy Storage	https://www.climatedrift.com/p/powering-the-future	1.1.4	3	1;1.1;1.1.4	batteries, lithium-ion, Lithium-iron phosphate, LFP, sodium-ion. EVs, battery energy storage, life cycle, recycling, refurbishing, supply chain, ewaste	Batteries are becoming a key player in the energy transition, with demand growing exponentially as various sectors adopt battery technology. This domino effect is driving down global fossil fuel demand, as highlighted in RMI’s recent report. From consumer electronics to electric vehicles, batteries are climbing S-curves of adoption, with sales doubling every two to three years. Battery prices have dropped 99% over the past 30 years, while energy density has improved fivefold. This has opened doors for batteries to be used in more applications, further accelerating their growth. The drivers of this change—falling costs, increasing policy support, and rising competition between economic blocs—will only strengthen in the coming years. Explore the evolving landscape of battery technologies, from lithium-ion dominance to the rise of LFP and sodium-ion batteries. Climate Drifter Harrison Tramposch dives deep into applications, investment needs, and the importance of onshoring for a sustainable future. Ready to find out which batteries are leading the charge?	08/24/2024	CD Original Article	Harrison Tramposch 	07/10/2025				NA	energy-storage, EVs, AI, supply-chain
1.1.4.103	The Battery Energy Storage System (BESS) Market in 2025	Energy Storage	Power;Energy Storage;Energy Storage	https://www.climatedrift.com/p/the-battery-energy-storage-system	1.1.4	3	1;1.1;1.1.4	battery energy storage systems, BESS, markets, ERCOT, renewable energy, grid stability, frequency regulation, capacity, peak load shaving, backup power, Transmission & distribution deferral, ancillary services, ramp rate, energy shifting, lithium-ion, LIB, sodium-ion, Na-ion, lithium, redox flow, metal-air, long duration energy storage, LDES, solid-state, lithium-sulfur, sodium-sulfur, lead-acid, nickel-cadmium, decarbonization, emmission redcutions, Tierra Climate, texas, scaling, supply chain	Today we're diving into the fast-growing, high-stakes world of battery energy storage systems (BESS). This market isn't just heating up; it's set to skyrocket from around $50 billion in 2024 to potentially $150 billion by 2030. But growth at this scale doesn't come without turbulence. Battery storage sits at the center of the energy transition, unlocking renewables, stabilizing grids, and creating opportunities for entrepreneurs and investors alike. Yet, there are big questions looming—from trade tensions and raw material volatility to safety and scalability concerns. In this piece, Michael will unpack the battery storage landscape, explore cutting-edge technologies shaping the future, and highlight the trends—and risks—that will define the industry's trajectory.	03/03/2025	CD Original Article	Micheal Applebaum	07/10/2025				NA	energy-storage, markets, supply-chain, renewables
1.1.4.104	Skander Garroum	Energy Storage	Power;Energy Storage;Energy Storage	https://www.linkedin.com/in/skandergarroum/	1.1.4	3	1;1.1;1.1.4	climate drift, founder	Founder & Economist on a mission to demystify climate solutions. Serving bite-sized insights and in-depth explorations.	05/26/2025	Person		07/10/2025			Berlin, Germany	1	renewables
1.1.6.1.100	Veckta	Smart Grids	Power;The Grid & Demand;Smart Grids;Smart Grids	https://veckta.com/	1.1.6.1	2	1;1.1;1.1.6;1.1.6.1	microgrids	VECKTA is the world’s first end-to-end onsite energy deployment platform and advisory. Enterprise businesses improve resilience, unlock savings and decarbonize at scale with VECKTA. Purpose-built to solve the challenges of onsite energy deployment at scale. Baseline an entire portfolio of sites to get a clear view of potential benefits. Establish a centralized, secure database of information. Align stakeholder interests and enable action between internal teams and external partners. Manage projects in bulk to accelerate deployment and track progress.	05/26/2025	Company		07/10/2025				NA	deployment, infrastructure, enterprise, software, data, residential
1.1.6.100	Microsofts 10 Billion Power Bill	The Grid & Demand	Power;The Grid & Demand;The Grid & Demand	https://www.climatedrift.com/p/microsofts-10-billion-power-bill	1.1.6	3	1;1.1;1.1.6	microsoft, funding, wall street, PPA	When Microsoft announced a 10.5GW renewable energy deal last May (8 times larger than any previous corporate PPA) it grabbed everyone’s attention. At first glance, it looked like a routine “Big Tech goes green” headline. But a closer look shows something else at play: the AI hype is suddenly reshaping not only how we use electricity, but how we finance it, too. How do you fund power plants big enough to run the next generation of AI data centers, when the demand for AI might double power usage by 2026? Traditional project finance formulas can’t keep up with these ticket sizes or uncertain demand. That’s why Wall Street and Big Tech are teaming up to build private mini-utilities, forging new financing structures along the way. In today’s deep dive by Mairi, we’ll see how $10B can bend (almost) everything, except the laws of physics. The banks might move mountains, but they can’t fast-track grid interconnection.	04/02/2024	CD Original Article	Mairi Robertson	07/10/2025				NA	AI, funding, EVs, renewables
1.1.6.101	A Roadmap for Sustainability in AI	The Grid & Demand	Power;The Grid & Demand;The Grid & Demand	https://www.climatedrift.com/p/a-roadmap-for-sustainability-in-ai	1.1.6.6	3	1;1.1;1.1.6	AI, Artificial Intelligence, Sustainability, Data Centers, Energy Use, Carbon Footprint, Climate Goals, Greenwashing, Renewable Energy, co2, carbon dioxide, environmental, workforce, supply chain, low carbon solutions, meta, bitcoin, cloud computing, saas, hyperscalers, scope 3	A Roadmap for Sustainability in AI. In this deep dive, we're looking at: The current state of AI sustainability; Challenges AI companies face in going green; Finding comparables: How tech giants are benchmarking their sustainability efforts; The economic upside of sustainable AI; Solutions to rein in AI's carbon footprint; A sustainability roadmap for AI companies. This is a tactical guide for AI companies who've been too busy disrupting industries to notice they might be disrupting the climate too.	09/30/2024	CD Original Article	Tracy Cheung	07/10/2025	I think we need a better category for this entry			NA	AI, co2, renewables, supply-chain
1.1.6.102	Veckta	The Grid & Demand	Power;The Grid & Demand;The Grid & Demand	https://veckta.com/	1.1.6.6	2	1;1.1;1.1.6	microgrids	VECKTA is the world’s first end-to-end onsite energy deployment platform and advisory. Enterprise businesses improve resilience, unlock savings and decarbonize at scale with VECKTA. Purpose-built to solve the challenges of onsite energy deployment at scale. Baseline an entire portfolio of sites to get a clear view of potential benefits. Establish a centralized, secure database of information. Align stakeholder interests and enable action between internal teams and external partners. Manage projects in bulk to accelerate deployment and track progress.	05/26/2025	Company		07/10/2025				NA	deployment, infrastructure, enterprise, software, data, residential
1.1.6.4.100	Microgrids 101	Microgrid	Power;The Grid & Demand;Microgrid;Microgrid	https://www.climatedrift.com/p/microgrids-101	1.1.6.4	4	1;1.1;1.1.6;1.1.6.4	virtual power plants, VPP, distributed energy resources, energy.gov, behind-the-meter, decarbonization, distributed energy Resources, DER, front-of-the-meter, reliability, reseilience, switchgear, microgrid	The grid is not ready for the explosive growth in EV sales we expect to see over the next decade. While Virtual Power Plants (VPPs) will play an important role in managing the increased demand for power, we will need physical investment to make the grid more resilient. Microgrids offer the potential to fast-track a grid that can handle the increased demand for clean electricity. Read on to find out how microgrids can accelerate the resilient grid of the future, learn whether microgrids are as clean as you think, understand the regulatory challenges of a decentralized grid, and learn what challenges we still need to solve. In this article we will cover: Key microgrid terminology, What is a microgrid and how big are they?, Gray vs green microgrids, Examples of microgrids accelerating grid, resilience, Microgrid standards and the regulatory environment, What’s next for microgrids?	02/26/2025	CD Original Article	Peter Blair 	07/10/2025				NA	infrastructure, residential, research, EVs
1.1.6.4.101	Peter Blair	Microgrid	Power;The Grid & Demand;Microgrid;Microgrid	https://www.linkedin.com/in/peterhblair/	1.1.6.4	4	1;1.1;1.1.6;1.1.6.4	climate drift fellow, microgrids, virtual power plants, VPP, Rewiring America, salesforce	Peter Blair grew up in Northern Ireland and lives in DC. He's spent the last decade in social impact, growing teams and organizations across nonprofit and tech for good. 13+ years of social impact across climate, tech, consulting, product, and nonprofit. Joined the climate fight at Rewiring America and led performance strategy and process reform Grew B-Corps SaaS consulting company from 35 to 85 across seven countriesLed global strategy for $3.8 billion product TAM at Salesforce.org and launch of flagship Nonprofit product Created operations processes ranging from go-to-market sector categorization, sales processes, consulting processes to performance management frameworks, and earthquake evacuation plans Chapter 1 - Nonprofits - Leading election observation teams in West Africa and managing a 35 person team monitoring the constitution-drafting process in Nepal. Chapter 2 - Social enterprise - Built a network of 120 water, sanitation, and hygiene entrepreneurs across East Africa and India and providing them with training in impact measurement and systems. Grew a tech for good B-Corps consulting company from 35 to 85 people across seven countries. Led the launch of Salesforce.org’s re-platformed marquee Salesforce for Nonprofits product. Chapter 3 - Pivot to climate - I realized an 80,000 person company is not where I want to spend my talents, and it was time for something new. I took time off in nature - biking, hiking, and scuba diving. I started with Terra.do’s Climate Learning for Action fellowship, and Air Miner’s Boot Up. I joined Rewiring America to lead internal process reform across OKRs, internal strategic communications, and leadership team enablement. I’m currently talking to founders, and exploring companies in the clean tech and social impact sectors. If my skillset sounds like a good fit for your company, let's connect. Outside of work I love the outdoors - whether that's rock climbing, scuba diving, hiking or cycling. My commitment to the ocean is so deep that as a kid I went bodyboarding in December in the Atlantic while it was snowing in just a T-shirt and board shorts.	05/25/2025	Person		07/10/2025				1	infrastructure, EVs, AI, software, data, water
1.1.6.4.102	The Decade Of Microgrids Commercialization Pt. 1	Microgrid	Power;The Grid & Demand;Microgrid;Microgrid	https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization	1.1.6.4	4	1;1.1;1.1.6;1.1.6.4	california, microgrid, texas, energy-as-a-service, EAAS, sustainability, resilience, EV	In an era of climate change, where natural disasters and grid outages are becoming more frequent, the need for resilience – the ability to reliably maintain a continuous power supply – is increasingly vital, for communities and businesses alike. Microgrids have emerged as a critical component and enabler of the energy transition, offering an ideal solution for delivering resilience when it is needed most. Their inherent attributes of independence and reliability, coupled with recent advancements in technology and innovative financing models, position microgrids for substantial growth. In Part 1, we will look at the U.S. energy transition landscape, how the impacts of a changing climate are increasing the need for energy resilience, and provide an overview of Microgrids as a solution to both of these challenges. In the following sections we will cover: The challenges of meeting increasing electricity demand; The grid impact of a changing climate; Defining resilience; An overview of Microgrids; Microgrid benefits & use cases.	04/04/2025	CD Original Article	Tanner Scholtes	07/10/2025				NA	infrastructure, residential, AI, EVs
1.1.6.6.100	A guide to Virtual Power Plants (VPP)	Virtual Power Plants & Distributed Energy Resource (DER)	Power;The Grid & Demand;Virtual Power Plants & Distributed Energy Resource (DER);Virtual Power Plants & Distributed Energy Resource (DER)	https://www.climatedrift.com/p/a-guide-to-virtual-power-plants-vpp	1.1.6.4	4	1;1.1;1.1.6;1.1.6.4	Virtual Power Plants, VPPs, Distributed Energy Resources, DERs, Grid Efficiency, Decarbonization, Energy Transition, Grid Reliability, Affordability, Regulatory Hurdles, Consumer Awareness, Fossil Fuel Plants, Energy Demand, Aggregation, Grid, Grid integrated, OhmConnect, comapny profiles, National Grid, FERC, IRA, incentives, Electrification	Virtual Power Plants (VPPs) are seen by the US Department of Energy and other federal regulators as an important tool in both driving and meeting the demands of the green energy transition. In fact by 2050, the Rocky Mountain Institute (RMI) estimates that VPPs could avoid 44 million– 59 million tons of CO2 in 2050 and provide tens of GW of renewable energy capacity by 2050. So what are they? In today’s piece our “Guide to Virtual Power Plants” (VPPs) we will cover four key areas: What are VPPs and what are the types?; Why are VPPs important now?; Why are VPPs important to climate change?; Opportunities and Challenges for VPPs	09/13/2023	CD Original Article	Clint Amadeus Chan	07/10/2025				NA	infrastructure, renewables, transportation, IRA
1.1.6.6.101	Blueprint for Steering Distributed Energy Resources Pt. 2	Virtual Power Plants & Distributed Energy Resource (DER)	Power;The Grid & Demand;Virtual Power Plants & Distributed Energy Resource (DER);Virtual Power Plants & Distributed Energy Resource (DER)	https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c	1.1.6.6	3	1;1.1;1.1.6;1.1.6.6	distributed energy resources, the dual flywheel, podero, distributed energy resources, DER, grid, stability, virtual power plant, VPP, electricity markets, electricity prices	deep dive into the world of Distributed Energy Resources (DERs). We'll explore: The Flexibility Revolution: How consumption is becoming as flexible as generation once was inflexible; The Dual Flywheel Effect: Understanding the self-reinforcing relationship between DERs and renewable energy; Grid Stability in the DER Era: How to maintain balance in an increasingly complex system; Monetizing the Distributed Grid: Strategies for utilities to create new revenue streams while benefiting consumers; Real-World Applications: How companies are already leveraging these concepts; By the end of this guide, you'll have the tools to: Identify opportunities for DER; Understand the economic incentives driving DER adoption Master strategies for maintaining grid stability as DER penetration increases	09/14/2025	CD Original Article	Chris Bernkopf and Maura White	07/10/2025				NA	infrastructure, markets, AI, EVs, renewables
