				Auto feeder switches			
				Phasor measurement unit (PMUs)			
			Maintenance	Fault and outage detection			
				Technical services			
			Software	Workforce Management			
				Asset Management			
				Analytics			
				Cybersecurity			
		Batteries	Manufacturing	Supply Chain			
				Gigafactories			
			Portable Use				
			Industrial Use				
	Water	Conservation	Monitoring & Efficiency				
			Wastewater				
			Irrigation				
			Purification				
		Extraction	Desalination				
			Rainwater				
			Atmospheric Extraction				
	Protect Nature	Goals	30 by 30				
			50 by 50				
			Nature Zones				
		Forests					
		Oceans					
		Lands					
		Offsets					
	Food and Agriculture	Farms	Farm Soils	Soil carbon  measurement			
				Farm monitoring			
				Soil improvements			
			Fertilizers				
			Sustainable agriculture	Regenerative farming			
				Vertical farming			
				Indoor farming			
				Hydroponics			
			Animal & Livestock Farms	Farm Carbon Capture	Cattle feed additives		
					Manure digestion		
					Biogas capture		
				Alternative protein & dairy	Plant based	Meat	
						Dairy	
						Eggs	
					Cultivated Meats	Whole cuts	
						Cell mass	
						Supporting Tech	3D Printing
							Scaffolding
							Growth Media
							Bioreactors
					Fermentation	Biomass	Mycoprotein
						Precision Fermentation	Dairy
							Eggs
							Other Ingredients
						Air Protein	
						Molecular Farming	
					Insect Protein		
				Regenerative aquaculture			
			Mushrooms	Macro Farms			
				Micro Farms			
				D2C			
			Subsidies				
			Crop production	Crop sensors			
				Automated farm equipment			
				New climate crop	Rice		
					Wheat		
		Shift to Climatarian Diet					
		Food Waste	Residential				
			Commercial	Analytics			
				Surplus Management			
				Overordering			
	Carbon Removal	Solutions	Engineered	Biochar and Biomass Carbon  Removal and Storage (BRICS)			
				Carbon mineralization			
				Enhanced weathering			
				Direct Air Capture (DAC)			
				Bioenergy with Carbon Capture  and Storage (BECCS)			
				Soil carbon sequestration			
			Nature based	Forests	Forestation		
					Tree Engineering		
				Oceans	Ocean alkalinity enhancement		
					Mangrove Restoration		
				Wetlands and Peatlands			
		Carbon offset verification,  monitoring, and creation	Project management platforms				
			Offset project crowdfunding				
			Offset APIs				
			Offsets databases and registries				
			Offsets marketplaces, exchanges  and APIs				
			Verification and Certification				
	Circular Economy	Rethink	Material Management Platform				
			New Materials	Plastic Alternatives			
				Low-carbon & Carbon  negative materials			
				Waste as Input			
			Logistics & Reverse Logistics				
		Recycle	Recycling	Consumer Facing Recycling			
				Battery recycling			
				Plastics recycling			
				Recycling other materials			
			Waste Management	Transportation	Route optimization		
				Advanced recycling  tech	Item detection		
					Hazard detection		
					Sorting robots		
				Waste traceability &  analytics			
		Reduce	Consumer Facing	Repair			
				Rental			
				Second Hand			
			Packaging	Re-use			
				New Sustainable Packaging			
				Return			
			Food waste  prevention & recovery				
	Finance	Insurance	Climate Risk	Modeling			
				Analytics			
			Brokers				
			Reinsurance				
		Investment	Climate Angels				
			Climate Accelerators				
			Venture Capital				
			Venture Debt and Growth Equity				
			Corporate Investment				
			Project finance and FOAK				
			Capital Market	Private Credit			
				PE			
				Endowments			
		Ratings	ESG				
			Natural Capital				
		Fintech	Asset Monitoring				
			Carbon Credit Tracking				
			Tax Credits & Grants				
			Consumer/Business Financing  Platform				
		Consumer	Impact Investing				
			Financing				
	Software	Climate intelligence	ESG ratings				
			ESG commercial real  estate				
			Climate insurance				
			Emissions monitoring				
			Emergency Support				
			Carbon Intelligence  Platform				
			Climate Modeling				
		Consumer-facing software	Billing				
			Sustainable investing  tools				
			Offsets purchasing  programs				
			Carbon footprint				
			Carbon actions				
		Enterprise software	Carbon accounting	Emissions Measurement			
				Reporting			
				Data platforms			
			Net zero planning				
			Offsets management				
			Risk assessment				
			Emissions monitoring  (from internal sources)				
			Utility Focused Software				
	Buildings	Construction	Pre-Fabrication				
			Building Materials				
			Building Assembly Automation				
			Building Code				
			Additional Dwelling Unit				
			Material Planning & Management				
		Building Envelope	Windows				
			Insulation				
			Air Sealing				
			Roof				
		Heating	Heat pumps	Ground			
				Air			
				Gas			
				Industrial			
			Hydrogen				
		Cooling	Lower GHG refrigrants				
			Smart refrigeration				
		Home Automation	Smart thermostats				
			Data				
		Lighting					
		Appliances & Equipment	Induction Stoves				
		Software	Planning				
			Optimisation				
		Financing					
	Workforce	Recruiting					
		Training					
		Engagement					
	Industry	Minerals	Mining	Automation			
				Hauling			
				Transport			
				Equipment upgrades &  replacement			
				Sea-based Mining			
			Battery Metals	Cobalt			
				Nickel			
				Direct Lithium Extraction			
				Synthetic graphite			
		Materials	Building  Materials	Concrete			
				Sustainable bricks			
			Clean Steel				
			Aluminium				
			Packaging				
			Paper / Pulp				
			Carbon black				
			Plastics				
		Other Industries					
		Software	Emissions				
			Material Discovery				
		Energy & Heat					
		Waste & Recycling					
		Fuels & Chemicals	Hydrogen	Production	Software		
					Electrolysis	Alkaline	
						SOEC	
						PEM	
					Blue Hydrogen	Pyrolysis	
						Onsite SMR + CCS	
					Waste & biomethane to Hydrogen		
					Plasma-based		
					Gasification		
				Transportation	Gas compression	Gas phase trucking	
						Pipeline	
					Liquification	Liquid trucking	
				Storage	Chemical Storage		
					Solid State		
					Compressed Gas Tank		
					Liquid		
					Salt Cavern		
				End-use	Transportation	Plane Fuel	
						Maritime	
						Heavy and medium duty Road Transport	
					Industry	Ammonia	
						Refining	
						Steel	
						Chemicals	
						Industrial Heat	
					Fuel cell manufacturers		
					Power	Power Generation	
						Natural Gas Blending	
					Building Heat		
			Alternative Fuels	Biogas / RNG			
				Ammonia			
				Methanol			
				Renewable Diesel			
				Butanol			
				Ethanol			
			Enzymes				
			Leak detection and management				
			High value chemicals	Ethylene			
				Propylene			
				BTX aromatics			
		Carbon Capture and Sequestration					
